host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,has_reviews,first_review_missing,last_review_missing,days_since_first_review,days_since_last_review,has_availability_miss,superhost_missing,host_tenure_days,last_scraped_collected_days,room_type_Entire home/apt,room_type_Private room,property_type_Entire condo,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in home,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in hotel,neighbourhood_cleansed_EIGHTH WARD,neighbourhood_cleansed_ELEVENTH WARD,neighbourhood_cleansed_FIFTEENTH WARD,neighbourhood_cleansed_FIFTH WARD,neighbourhood_cleansed_FIRST WARD,neighbourhood_cleansed_FOURTEENTH WARD,neighbourhood_cleansed_FOURTH WARD,neighbourhood_cleansed_NINTH WARD,neighbourhood_cleansed_SECOND WARD,neighbourhood_cleansed_SEVENTH WARD,neighbourhood_cleansed_SIXTH WARD,neighbourhood_cleansed_TENTH WARD,neighbourhood_cleansed_THIRD WARD,neighbourhood_cleansed_THIRTEENTH WARD,neighbourhood_cleansed_TWELFTH WARD,amenity__Wifi,amenity__Smoke_alarm,amenity__Kitchen,amenity__Carbon_monoxide_alarm,amenity__Hot_water,amenity__Hangers,amenity__Cooking_basics,amenity__Dishes_and_silverware,amenity__Microwave,amenity__Bed_linens,amenity__Self_check-in,amenity__Iron,amenity__TV,amenity__Refrigerator,amenity__Essentials,amenity__Fire_extinguisher,amenity__Shampoo,amenity__First_aid_kit,amenity__Long_term_stays_allowed,amenity__Hair_dryer,amenity__Cleaning_products,amenity__Free_street_parking,amenity__Freezer,amenity__Dining_table,amenity__Exterior_security_cameras_on_property,amenity__Free_parking_on_premises,amenity__Coffee,amenity__Extra_pillows_and_blankets,amenity__Conditioner,amenity__Heating,amenity__Oven,amenity__Body_soap,amenity__Dedicated_workspace,amenity__Toaster,amenity__Dishwasher,amenity__Hot_water_kettle,amenity__Bathtub,amenity__Shower_gel,amenity__Air_conditioning,amenity__Stove,amenities_count,bathroom_private,encoded_host_response_time
100.0,100.0,0,1,5,1,1,42.66972,-73.82753,8,2.0,4.0,4.0,219.0,2,1125,2,2,1125,1125,2.0,1125.0,1,17,40,70,343,194,9,2,67,15,54,11826.0,4.67,4.81,4.72,4.9,4.87,4.8,4.77,0,1,1.72,1,0,0,3433,64,0,0,5136,49,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,56,1,4
100.0,97.0,-1,13,15,1,1,42.65726,-73.78219,1,1.0,1.0,1.0,45.0,18,1125,18,18,1125,1125,18.0,1125.0,1,30,60,90,365,54,3,0,87,4,108,4860.0,4.69,4.81,4.59,4.94,4.75,4.66,4.77,1,2,0.48,1,0,0,3396,200,0,1,3808,49,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,44,0,4
100.0,88.0,1,8,13,1,1,42.673512,-73.819679,7,2.0,2.0,2.0,197.0,1,730,1,1,730,730,1.0,730.0,1,12,42,72,347,122,22,2,70,26,132,26004.0,4.96,4.97,4.93,4.98,4.98,4.86,4.69,0,8,1.13,1,0,0,3298,64,0,0,4745,50,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,53,1,4
100.0,97.0,0,2,9,1,1,42.65651,-73.77887,2,1.0,1.0,1.0,56.0,2,29,2,2,1125,1125,2.0,1125.0,1,26,56,86,116,51,7,1,84,8,42,2352.0,4.67,4.84,4.78,4.86,4.73,4.8,4.73,1,2,0.5,1,0,0,3101,54,0,0,3390,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,37,0,4
100.0,93.0,1,2,3,1,0,42.66075,-73.80605,2,1.0,1.0,1.0,60.0,1,1125,1,1,1125,1125,1.0,1125.0,1,16,41,70,345,523,79,9,67,139,255,15300.0,4.77,4.86,4.66,4.87,4.79,4.91,4.85,0,2,8.01,1,0,0,2006,62,0,0,4622,49,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,1,4
100.0,97.0,-1,13,15,1,1,42.6584,-73.78309,1,1.0,1.0,1.0,41.0,18,1125,18,18,1125,1125,18.0,1125.0,1,0,30,60,335,56,1,0,58,4,36,1476.0,4.75,4.71,4.57,4.93,4.95,4.7,4.66,1,2,0.54,1,0,0,3176,387,0,1,3808,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,44,0,4
100.0,88.0,1,8,13,1,1,42.67637,-73.82395,6,1.0,2.0,3.0,555.0,1,1125,2,3,1125,1125,2.3,1125.0,1,29,59,89,364,58,0,0,87,1,0,0.0,4.97,4.93,5.0,4.98,5.0,4.97,4.79,0,8,0.63,1,0,0,2814,468,0,0,4745,50,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,89,1,4
90.0,89.0,1,3,3,1,0,42.65312,-73.78161,2,1.0,1.0,1.0,71.0,1,1125,1,2,1125,1125,1.3,1125.0,1,14,44,62,241,88,6,0,59,11,36,2556.0,4.97,4.97,4.94,4.98,4.95,4.94,4.94,0,3,1.04,1,0,0,2595,106,0,0,4219,49,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,29,1,3
100.0,83.0,0,1,1,0,0,42.668842904707454,-73.74151370795786,5,1.5,3.0,3.0,215.0,2,29,2,2,29,29,2.0,29.0,1,29,59,89,89,1,1,0,87,0,6,1290.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,0,1,0.48,1,0,0,112,112,0,0,3057,50,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,49,1,3
100.0,97.0,1,1,1,1,1,42.65846,-73.80201,9,2.0,5.0,6.0,225.0,4,730,1,4,730,730,4.0,730.0,1,25,46,71,342,124,22,1,68,16,176,39600.0,4.94,4.96,4.91,4.98,4.99,4.88,4.88,0,1,1.29,1,0,0,2938,61,0,0,3511,49,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,37,1,4
